,eventgroupId,offercategoryId,offercategoryName,subcategoryId,subcategoryName
0,88808,529,Futures,10500.0,Champion
1,88808,529,Futures,4651.0,Conference Winner
2,88808,529,Futures,5629.0,Division Winner
3,88808,529,Futures,4652.0,To Make the Playoffs
4,88808,529,Futures,6447.0,Champion Specials
5,88808,863,Team Specials,,
6,88808,1286,Wins,,
7,88808,787,Awards,,
8,88808,782,Player Stats,,
9,88808,771,Draft Specials,,
10,88808,1254,Draft Team Specials,,
11,88808,669,2024 Draft,,
12,84240,493,Game Lines,4519.0,Game
13,84240,493,Game Lines,6618.0,Listed Pitcher
14,84240,493,Game Lines,13168.0,Alternate Run Line
15,84240,493,Game Lines,13169.0,Alternate Total Runs
16,84240,493,Game Lines,6694.0,Total Runs (3-Way)
17,84240,988,Plate Appearance,,
18,84240,1024,1st Inning,,
19,84240,729,Innings,,
20,84240,743,Batter Props,,
21,84240,1031,Pitcher Props,,
22,84240,724,Game Props,,
23,84240,1133,Correct Score,,
24,84240,754,Game Parlays,,
25,84240,517,Team Futures,,
26,84240,684,Awards,,
27,84240,1297,League Seeding,,
28,84240,972,Season Specials,,
29,42133,496,Game Lines,4525.0,Game
30,42133,496,Game Lines,4999.0,60 Min Line
31,42133,496,Game Lines,6353.0,Tie No Bet
32,42133,1259,Quick Hits,,
33,42133,1190,Goalscorer,,
34,42133,1189,Shots on Goal,,
35,42133,550,Player Props,,
36,42133,548,Periods,,
37,42133,549,Game Props,,
38,42133,1193,Team Totals,,
39,42133,554,Game Parlays,,
40,42133,1154,DK Specials,,
41,42133,552,Team Futures,,
42,42133,592,Awards,,
43,42648,487,Game Lines,4511.0,Game
44,42648,1157,Quick Hits,,
45,42648,1215,Player Points,,
46,42648,1218,Player Threes,,
47,42648,583,Player Combos,,
48,42648,1216,Player Rebounds,,
49,42648,1217,Player Assists,,
50,42648,1293,Player Defense,,
51,42648,523,Team Props,,
52,42648,521,Game Props,,
53,42648,519,Team Futures,,
54,42648,1178,Team Specials,,
55,42648,518,Awards,,
56,87637,529,Futures,7693.0,Winner
57,87637,787,Awards,,
58,92483,487,Game Lines,4511.0,Game
59,92483,487,Game Lines,13202.0,Alternate Spread
60,92483,487,Game Lines,13201.0,Alternate Total
61,92483,487,Game Lines,10002.0,Spread / Total
62,92483,487,Game Lines,10004.0,Moneyline / Total
63,92483,487,Game Lines,12188.0,Halftime/Fulltime
64,92483,1157,Quick Hits,,
65,92483,764,Madness Props,,
66,92483,1215,Player Points,,
67,92483,1218,Player Threes,,
68,92483,583,Player Combos,,
69,92483,1216,Player Rebounds,,
70,92483,1217,Player Assists,,
71,92483,1293,Player Defense,,
72,92483,1320,Game Leaders,,
73,92483,520,Halves,,
74,92483,523,Team Props,,
75,92483,521,Game Props,,
76,92483,519,Team Futures,,
77,92483,1280,Player Specials,,
78,92483,808,Buzzer Beaters,,
