regionCode,countryCode,typeCode,URLValue,isoRegionCode,name,FullValue,secretskey,jsonobject
AL,US,SB,US-AL-SB,US-AL,Alabama,"AL = ""US-AL-SB""",region_list_AL,"{'countryCode': 'US', 'regionCode': 'AL', 'isoRegionCode': 'US-AL', 'name': 'Alabama'}"
AK,US,SB,US-AK-SB,US-AK,Alaska,"AK = ""US-AK-SB""",region_list_AK,"{'countryCode': 'US', 'regionCode': 'AK', 'isoRegionCode': 'US-AK', 'name': 'Alaska'}"
AS,US,SB,US-AS-SB,US-AS,American Samoa,"AS = ""US-AS-SB""",region_list_AS,"{'countryCode': 'US', 'regionCode': 'AS', 'isoRegionCode': 'US-AS', 'name': 'American Samoa'}"
AZ,US,SB,US-AZ-SB,US-AZ,Arizona,"AZ = ""US-AZ-SB""",region_list_AZ,"{'countryCode': 'US', 'regionCode': 'AZ', 'isoRegionCode': 'US-AZ', 'name': 'Arizona'}"
AR,US,SB,US-AR-SB,US-AR,Arkansas,"AR = ""US-AR-SB""",region_list_AR,"{'countryCode': 'US', 'regionCode': 'AR', 'isoRegionCode': 'US-AR', 'name': 'Arkansas'}"
AA,US,SB,US-AA-SB,US-AA,Armed Forces - Americas,"AA = ""US-AA-SB""",region_list_AA,"{'countryCode': 'US', 'regionCode': 'AA', 'isoRegionCode': 'US-AA', 'name': 'Armed Forces - Americas'}"
AE,US,SB,US-AE-SB,US-AE,Armed Forces - Europe,"AE = ""US-AE-SB""",region_list_AE,"{'countryCode': 'US', 'regionCode': 'AE', 'isoRegionCode': 'US-AE', 'name': 'Armed Forces - Europe'}"
AP,US,SB,US-AP-SB,US-AP,Armed Forces - Pacific,"AP = ""US-AP-SB""",region_list_AP,"{'countryCode': 'US', 'regionCode': 'AP', 'isoRegionCode': 'US-AP', 'name': 'Armed Forces - Pacific'}"
CA,US,SB,US-CA-SB,US-CA,California,"CA = ""US-CA-SB""",region_list_CA,"{'countryCode': 'US', 'regionCode': 'CA', 'isoRegionCode': 'US-CA', 'name': 'California'}"
CO,US,SB,US-CO-SB,US-CO,Colorado,"CO = ""US-CO-SB""",region_list_CO,"{'countryCode': 'US', 'regionCode': 'CO', 'isoRegionCode': 'US-CO', 'name': 'Colorado'}"
CT,US,SB,US-CT-SB,US-CT,Connecticut,"CT = ""US-CT-SB""",region_list_CT,"{'countryCode': 'US', 'regionCode': 'CT', 'isoRegionCode': 'US-CT', 'name': 'Connecticut'}"
DE,US,SB,US-DE-SB,US-DE,Deleware,"DE = ""US-DE-SB""",region_list_DE,"{'countryCode': 'US', 'regionCode': 'DE', 'isoRegionCode': 'US-DE', 'name': 'Deleware'}"
DC,US,SB,US-DC-SB,US-DC,District of Columbia,"DC = ""US-DC-SB""",region_list_DC,"{'countryCode': 'US', 'regionCode': 'DC', 'isoRegionCode': 'US-DC', 'name': 'District of Columbia'}"
FM,US,SB,US-FM-SB,US-FM,Federated States of Micronesia,"FM = ""US-FM-SB""",region_list_FM,"{'countryCode': 'US', 'regionCode': 'FM', 'isoRegionCode': 'US-FM', 'name': 'Federated States of Micronesia'}"
FL,US,SB,US-FL-SB,US-FL,Florida,"FL = ""US-FL-SB""",region_list_FL,"{'countryCode': 'US', 'regionCode': 'FL', 'isoRegionCode': 'US-FL', 'name': 'Florida'}"
GA,US,SB,US-GA-SB,US-GA,Georgia,"GA = ""US-GA-SB""",region_list_GA,"{'countryCode': 'US', 'regionCode': 'GA', 'isoRegionCode': 'US-GA', 'name': 'Georgia'}"
GU,US,SB,US-GU-SB,US-GU,Guam,"GU = ""US-GU-SB""",region_list_GU,"{'countryCode': 'US', 'regionCode': 'GU', 'isoRegionCode': 'US-GU', 'name': 'Guam'}"
HI,US,SB,US-HI-SB,US-HI,Hawaii,"HI = ""US-HI-SB""",region_list_HI,"{'countryCode': 'US', 'regionCode': 'HI', 'isoRegionCode': 'US-HI', 'name': 'Hawaii'}"
ID,US,SB,US-ID-SB,US-ID,Idaho,"ID = ""US-ID-SB""",region_list_ID,"{'countryCode': 'US', 'regionCode': 'ID', 'isoRegionCode': 'US-ID', 'name': 'Idaho'}"
IL,US,SB,US-IL-SB,US-IL,Illinois,"IL = ""US-IL-SB""",region_list_IL,"{'countryCode': 'US', 'regionCode': 'IL', 'isoRegionCode': 'US-IL', 'name': 'Illinois'}"
IN,US,SB,US-IN-SB,US-IN,Indiana,"IN = ""US-IN-SB""",region_list_IN,"{'countryCode': 'US', 'regionCode': 'IN', 'isoRegionCode': 'US-IN', 'name': 'Indiana'}"
IA,US,SB,US-IA-SB,US-IA,Iowa,"IA = ""US-IA-SB""",region_list_IA,"{'countryCode': 'US', 'regionCode': 'IA', 'isoRegionCode': 'US-IA', 'name': 'Iowa'}"
KS,US,SB,US-KS-SB,US-KS,Kansas,"KS = ""US-KS-SB""",region_list_KS,"{'countryCode': 'US', 'regionCode': 'KS', 'isoRegionCode': 'US-KS', 'name': 'Kansas'}"
KY,US,SB,US-KY-SB,US-KY,Kentucky,"KY = ""US-KY-SB""",region_list_KY,"{'countryCode': 'US', 'regionCode': 'KY', 'isoRegionCode': 'US-KY', 'name': 'Kentucky'}"
LA,US,SB,US-LA-SB,US-LA,Louisiana,"LA = ""US-LA-SB""",region_list_LA,"{'countryCode': 'US', 'regionCode': 'LA', 'isoRegionCode': 'US-LA', 'name': 'Louisiana'}"
ME,US,SB,US-ME-SB,US-ME,Maine,"ME = ""US-ME-SB""",region_list_ME,"{'countryCode': 'US', 'regionCode': 'ME', 'isoRegionCode': 'US-ME', 'name': 'Maine'}"
MH,US,SB,US-MH-SB,US-MH,Marshall Islands,"MH = ""US-MH-SB""",region_list_MH,"{'countryCode': 'US', 'regionCode': 'MH', 'isoRegionCode': 'US-MH', 'name': 'Marshall Islands'}"
MD,US,SB,US-MD-SB,US-MD,Maryland,"MD = ""US-MD-SB""",region_list_MD,"{'countryCode': 'US', 'regionCode': 'MD', 'isoRegionCode': 'US-MD', 'name': 'Maryland'}"
MA,US,SB,US-MA-SB,US-MA,Massachusetts,"MA = ""US-MA-SB""",region_list_MA,"{'countryCode': 'US', 'regionCode': 'MA', 'isoRegionCode': 'US-MA', 'name': 'Massachusetts'}"
MI,US,SB,US-MI-SB,US-MI,Michigan,"MI = ""US-MI-SB""",region_list_MI,"{'countryCode': 'US', 'regionCode': 'MI', 'isoRegionCode': 'US-MI', 'name': 'Michigan'}"
MN,US,SB,US-MN-SB,US-MN,Minnesota,"MN = ""US-MN-SB""",region_list_MN,"{'countryCode': 'US', 'regionCode': 'MN', 'isoRegionCode': 'US-MN', 'name': 'Minnesota'}"
MS,US,SB,US-MS-SB,US-MS,Mississippi,"MS = ""US-MS-SB""",region_list_MS,"{'countryCode': 'US', 'regionCode': 'MS', 'isoRegionCode': 'US-MS', 'name': 'Mississippi'}"
MO,US,SB,US-MO-SB,US-MO,Missouri,"MO = ""US-MO-SB""",region_list_MO,"{'countryCode': 'US', 'regionCode': 'MO', 'isoRegionCode': 'US-MO', 'name': 'Missouri'}"
MT,US,SB,US-MT-SB,US-MT,Montana,"MT = ""US-MT-SB""",region_list_MT,"{'countryCode': 'US', 'regionCode': 'MT', 'isoRegionCode': 'US-MT', 'name': 'Montana'}"
NE,US,SB,US-NE-SB,US-NE,Nebraska,"NE = ""US-NE-SB""",region_list_NE,"{'countryCode': 'US', 'regionCode': 'NE', 'isoRegionCode': 'US-NE', 'name': 'Nebraska'}"
NV,US,SB,US-NV-SB,US-NV,Nevada,"NV = ""US-NV-SB""",region_list_NV,"{'countryCode': 'US', 'regionCode': 'NV', 'isoRegionCode': 'US-NV', 'name': 'Nevada'}"
NH,US,SB,US-NH-SB,US-NH,New Hampshire,"NH = ""US-NH-SB""",region_list_NH,"{'countryCode': 'US', 'regionCode': 'NH', 'isoRegionCode': 'US-NH', 'name': 'New Hampshire'}"
NJ,US,SB,US-NJ-SB,US-NJ,New Jersey,"NJ = ""US-NJ-SB""",region_list_NJ,"{'countryCode': 'US', 'regionCode': 'NJ', 'isoRegionCode': 'US-NJ', 'name': 'New Jersey'}"
NM,US,SB,US-NM-SB,US-NM,New Mexico,"NM = ""US-NM-SB""",region_list_NM,"{'countryCode': 'US', 'regionCode': 'NM', 'isoRegionCode': 'US-NM', 'name': 'New Mexico'}"
NY,US,SB,US-NY-SB,US-NY,New York,"NY = ""US-NY-SB""",region_list_NY,"{'countryCode': 'US', 'regionCode': 'NY', 'isoRegionCode': 'US-NY', 'name': 'New York'}"
NC,US,SB,US-NC-SB,US-NC,North Carolina,"NC = ""US-NC-SB""",region_list_NC,"{'countryCode': 'US', 'regionCode': 'NC', 'isoRegionCode': 'US-NC', 'name': 'North Carolina'}"
ND,US,SB,US-ND-SB,US-ND,North Dakota,"ND = ""US-ND-SB""",region_list_ND,"{'countryCode': 'US', 'regionCode': 'ND', 'isoRegionCode': 'US-ND', 'name': 'North Dakota'}"
