,active,competitorType,market,marketAbbr,name,nameShort,primaryColor,shortCode,sportId,teamId,teamIdsByProvider
0,True,Team,Auburn,AUB,Tigers,Tigers,#04254C,AUB,6,702,"{'6': '0c0608b3-f349-4f5e-9a10-7e6a744dd0d2', '15': '44071'}"
1,True,Team,South Carolina,SCAR,Gamecocks,Gamecocks,,SCAR,6,703,"{'6': '1c7ec608-3b36-4cee-adac-9265e3792597', '15': '42229'}"
2,True,Team,Tennessee,TENN,Volunteers,Volunteers,,TENN,6,711,"{'6': 'b827dbdf-230f-4916-9703-3bb9004e26eb', '15': '42305'}"
3,True,Team,Alabama,ALA,Crimson Tide,Crimson Tide,,ALA,6,712,"{'6': 'c2104cdc-c83d-40d2-a3cd-df986e29f5d3', '15': '42858'}"
4,True,Team,Kentucky,UK,Wildcats,Wildcats,,UK,6,704,"{'6': '2267a1f4-68f6-418b-aaf6-2aa0c4b291f1', '15': '44542'}"
5,True,Team,Florida,FLA,Gators,Gators,#0E5CA0,FLA,6,709,"{'6': '912f8837-1d81-4ef9-a576-a21f271d4c64', '15': '44135'}"
6,True,Team,Ole Miss,MISS,Rebels,Rebels,,MISS,6,714,"{'6': 'd7d668ec-edaa-4d6b-be25-2ebba4128643', '15': '43121'}"
7,True,Team,Mississippi State,MSST,Bulldogs,Bulldogs,#862334,MSST,6,710,"{'6': 'a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae', '15': '42185'}"
8,True,Team,Texas A&M,TXAM,Aggies,Aggies,#590D0D,TXAM,6,715,"{'6': 'ef184799-d79b-49d9-a662-991eaf4044cd', '15': '44866'}"
9,True,Team,Georgia,UGA,Bulldogs,Bulldogs,#D90C0C,UGA,6,705,"{'6': '4f4b0771-994c-4126-822d-7525aaa00f65', '15': '42478'}"
10,True,Team,LSU,LSU,Tigers,Tigers,#271A5A,LSU,6,706,"{'6': '70e2bedd-3a0a-479c-ac99-e3f58aa6824b', '15': '43998'}"
11,True,Team,Arkansas,ARK,Razorbacks,Razorbacks,#A83430,ARK,6,713,"{'6': 'c70c23c4-ab09-4797-a1af-792c848ab17f', '15': '42107'}"
12,True,Team,Vanderbilt,VAN,Commodores,Commodores,#000000,VAN,6,707,"{'6': '72971b77-1d35-40b3-bb63-4c5b29f3d22b', '15': '44513'}"
13,True,Team,Missouri,MIZZ,Tigers,Tigers,,MIZZ,6,708,"{'6': '77ca152a-cb2f-48a5-97b2-492351250d94', '15': '43114'}"
14,True,Team,Vermont,UVM,Catamounts,Catamounts,,UVM,6,743,"{'6': '18e89867-9201-41ce-ba19-fadddf92fa17', '15': '41806'}"
15,True,Team,UMass Lowell,MASSL,River Hawks,River Hawks,,MASSL,6,747,"{'6': '4927ef8b-e680-4fb8-b10e-2ea3eff32eab', '15': '42668'}"
16,True,Team,Bryant,BRY,Bulldogs,Bulldogs,,BRY,6,756,"{'6': '61dadefa-76bf-4db4-8067-f88df540b9cd', '15': '42187'}"
17,True,Team,New Hampshire,UNH,Wildcats,Wildcats,,UNH,6,749,"{'6': '93cb009e-5bbf-4081-b2c9-44028fe28096', '15': '41993'}"
18,True,Team,Binghamton,BING,Bearcats,Bearcats,,BING,6,751,"{'6': 'fa0f8282-c4f1-490e-962c-f25350cd76f4', '15': '43703'}"
19,True,Team,Maine,ME,Black Bears,Black Bears,,ME,6,742,"{'6': '0095032d-6143-44f2-8974-f6815fc56c5b', '15': '44004'}"
20,True,Team,Albany,ALBY,Great Danes,Great Danes,,ALBY,6,745,"{'6': '290a5130-836d-45e6-824f-28704d6ba246', '15': '42463'}"
21,True,Team,UMBC,UMBC,Retrievers,Retrievers,,UMBC,6,746,"{'6': '32755362-6336-4dd3-ac34-6f72a6cc150b', '15': '44204'}"
22,True,Team,N.J.I.T.,NJIT,Highlanders,Highlanders,,NJIT,6,748,"{'6': '500d7223-ecff-494b-9539-28427156c783', '15': '42492'}"
23,True,Team,Colgate,COLG,Raiders,Raiders,,COLG,6,665,"{'6': '80a19b57-d6ab-4bee-934f-33a72c2e958a', '15': '42499'}"
24,True,Team,American,AMER,Eagles,Eagles,,AMER,6,659,"{'6': '2f513e67-f019-4eec-9096-fbc5911858b6', '15': '41874'}"
25,True,Team,Boston University,BU,Terriers,Terriers,,BU,6,667,"{'6': 'de9a0e19-b83c-4b98-a6da-81c110cb364b', '15': '43228'}"
26,True,Team,Lehigh,LEH,Mountain Hawks,Mountain Hawks,,LEH,6,662,"{'6': '508f503f-dc57-4f4c-a01e-4f195e5c05c8', '15': '43993'}"
27,True,Team,Bucknell,BUCK,Bison,Bison,,BUCK,6,666,"{'6': '98d2123a-c7b9-4b5f-8a81-43f76d8537dc', '15': '45043'}"
28,True,Team,Navy,NAVY,Midshipmen,Midshipmen,,NAVY,6,661,"{'6': '3b088563-ca8a-49a6-9e19-5e4cb186ae1d', '15': '42084'}"
29,True,Team,Lafayette,LAF,Leopards,Leopards,#CD0E0E,LAF,6,663,"{'6': '6af02334-9ac3-452f-bcf4-20abdb72bd07', '15': '45089'}"
30,True,Team,Army,ARMY,Black Knights,Black Knights,,ARMY,6,664,"{'6': '6dfaf0ba-47c4-4e05-b0a7-72734747d48f', '15': '41460'}"
31,True,Team,Holy Cross,HC,Crusaders,Crusaders,#FD963F,HC,6,660,"{'6': '31aedd91-a77e-46c1-8bdc-80e9860c159d', '15': '42558'}"
32,True,Team,Loyola (MD),L-MD,Greyhounds,Greyhounds,,L-MD,6,658,"{'6': '175d34a7-3823-4e4f-9f11-2464f55360b8', '15': '41396'}"
33,True,Team,South Florida,USF,Bulls,Bulls,#24442F,USF,6,542,"{'6': '55af9c69-3675-4b9b-a882-96640b782fff', '15': '42254'}"
34,True,Team,Florida Atlantic,FAU,Owls,Owls,#003366,FAU,6,589,"{'6': 'c851131a-5ecd-4670-81bc-b40f4837dd65', '15': '44945'}"
35,True,Team,Memphis,MEM,Tigers,Tigers,#2B6FEC,MEM,6,537,"{'6': '1551b3a0-6d10-4ffa-8dfa-73b56f004553', '15': '43053'}"
36,True,Team,UAB,UAB,Blazers,Blazers,#2C614D,UAB,6,582,"{'6': '63a8fdcf-b51b-4de3-8a57-2a6e41d362ce', '15': '42938'}"
37,True,Team,Charlotte,CHAR,49ers,49ers,,CHAR,6,584,"{'6': '8ddbfca9-a931-4908-aa31-9fcd17624b5f', '15': '41965'}"
38,True,Team,SMU,SMU,Mustangs,Mustangs,#FB3941,SMU,6,541,"{'6': '3f4515ea-4472-46b9-ac9e-16d7d8f22a38', '15': '41637'}"
39,True,Team,North Texas,UNT,Mean Green,Mean Green,,UNT,6,578,"{'6': '10f450ce-143b-4e46-8bfe-52c644b68b07', '15': '43192'}"
40,True,Team,Tulsa,TLSA,Golden Hurricane,Golden Hurricane,,TLSA,6,539,"{'6': '2959bd24-7007-41ae-a3a3-abdf26888cfc', '15': '43506'}"
41,True,Team,East Carolina,ECU,Pirates,Pirates,#50338F,ECU,6,545,"{'6': 'a601205f-3bfe-4052-ac0b-b8f18cf3efd3', '15': '43842'}"
42,True,Team,Tulane,TULN,Green Wave,Green Wave,,TULN,6,540,"{'6': '399ad7fb-de60-45a6-a71f-d26e00f1a4ec', '15': '44102'}"
43,True,Team,Temple,TEM,Owls,Owls,#82313C,TEM,6,543,"{'6': '8598d1b6-106b-4083-a512-2e495729525a', '15': '42811'}"
44,True,Team,Wichita State,WICH,Shockers,Shockers,,WICH,6,546,"{'6': 'f38b58de-3273-4723-a78b-2f918e9aa2d5', '15': '43593'}"
