,teamId,teamIdsByProvider,sportId,shortCode,market,marketAbbr,name,nameShort,active,primaryColor,competitorType
0,86,"{'6': '619c5384-3660-44ac-b2ad-597ccb3854c7', '15': '8233'}",5,SMU,SMU,SMU,Mustangs,Mustangs,True,#FB3941,Team
1,83,"{'6': '6551124f-312e-49c8-87c4-d1cba14133c7', '10': '1000061840', '15': '8412'}",5,TUL,Tulane,TUL,Green Wave,Green Wave,True,#2E5C52,Team
2,127,"{'6': 'b845a41f-2606-478f-a458-3fee79588ad8', '10': '1001091020', '15': '9456'}",5,UTSA,UTSA,UTSA,Roadrunners,Roadrunners,True,#F15A22,Team
3,89,"{'6': '7c3a4847-5a1d-422f-b15b-dcc5f8cc5e24', '10': '1000056966', '15': '8378'}",5,MEM,Memphis,MEM,Tigers,Tigers,True,#2B6FEC,Team
4,80,"{'6': 'eacced25-52d9-4c27-ab9d-ea9aef995e82', '10': '1000068256', '15': '9418'}",5,USF,South Florida,USF,Bulls,Bulls,True,#24442F,Team
5,126,"{'6': '31cc5b49-fbc5-4aca-9196-fbcce6bc6ad9', '10': '1000035650', '15': '8229'}",5,RICE,Rice,RICE,Owls,Owls,True,#2C2D63,Team
6,85,"{'6': 'b1ff8076-e373-4b6a-ab0f-7f8f86bf0370', '10': '1000080315', '15': '8384'}",5,NAV,Navy,NAV,Midshipmen,Midshipmen,True,#F3D99C,Team
7,124,"{'6': '2a828de7-53d6-4a35-9f55-9aaa226956ed', '10': '1000079778', '15': '9033'}",5,NTX,North Texas,NTX,Mean Green,Mean Green,True,#007A50,Team
8,119,"{'6': 'c951e9e7-f0b8-4da6-9913-b35572316314', '10': '1000016909', '15': '9427'}",5,FAU,Florida Atlantic,FAU,Owls,Owls,True,#003366,Team
9,121,"{'6': 'cd66228e-16d4-4753-8af9-d40f0bdc24d6', '10': '1000022790', '15': '9227'}",5,UAB,UAB,UAB,Blazers,Blazers,True,#2C614D,Team
10,82,"{'6': '83bca544-81f2-46cd-8f83-3fe8dbd73a33', '10': '1000005651', '15': '8426'}",5,TSA,Tulsa,TSA,Golden Hurricane,Golden Hurricane,True,#1A327F,Team
11,114,"{'6': '30abfee7-57a7-4984-9a1c-55cb28970da3', '10': '1002787882', '15': '9459'}",5,CHA,Charlotte,CHA,49ers,49ers,True,#006C3A,Team
12,87,"{'6': 'c14ef8dc-4d15-401f-a47a-74f15f372b04', '10': '1000081104', '15': '7736'}",5,TEM,Temple,TEM,Owls,Owls,True,#82313C,Team
13,88,"{'6': 'e3b9e7df-4b69-4d27-9948-59491c29be86', '10': '1000047740', '15': '8368'}",5,ECU,East Carolina,ECU,Pirates,Pirates,True,#50338F,Team
14,74,"{'6': '1c792ab1-d640-48f2-b796-6a81c7b14eaf', '10': '1000083462', '15': '7627'}",5,FSU,Florida State,FSU,Seminoles,Seminoles,True,#833641,Team
15,65,"{'6': '1e8edb90-ea5e-4663-9a65-a30e51583711', '10': '1000039921', '15': '8373'}",5,LOU,Louisville,LOU,Cardinals,Cardinals,True,#C9001F,Team
16,77,"{'6': '034ac81a-311c-49f4-8c45-ddcef7777bdc', '10': '1000008804', '15': '7664'}",5,NCST,North Carolina State,NCST,Wolfpack,Wolfpack,True,#CC0000,Team
17,78,"{'6': '5ff038e1-6e3b-4cbe-90b8-751f783cd7a9', '10': '1000025807', '15': '7633'}",5,GT,Georgia Tech,GT,Yellow Jackets,Yellow Jackets,True,#DCD290,Team
18,70,"{'6': '5a9498fc-bae2-49d2-af1d-e13d07f4e68f', '10': '1000007836', '15': '7742'}",5,VT,Virginia Tech,VT,Hokies,Hokies,True,#721414,Team
19,76,"{'6': '95404613-f4f0-4280-ac27-85419215f8d1', '10': '1000031197', '15': '7610'}",5,CLE,Clemson,CLE,Tigers,Tigers,True,#F95726,Team
20,75,"{'6': '79368b86-8bb0-4c66-8189-b836d039c207', '10': '1000025215', '15': '7654'}",5,NC,North Carolina,NC,Tar Heels,Tar Heels,True,#88B1D9,Team
21,64,"{'6': 'deb0920f-c4ca-414d-be4b-ca779e353bf0', '10': '1000006061', '15': '7621'}",5,DUK,Duke,DUK,Blue Devils,Blue Devils,True,#2A3B7E,Team
22,71,"{'6': '2f475a40-df87-43a7-b8a9-c36a43edff21', '15': '7704'}",5,MFL,Miami (FL),MFL,Hurricanes,Hurricanes,True,#F36A32,Team
23,68,"{'6': '20827bfd-4930-4921-8273-1802423e2be7', '10': '1000043772', '15': '7692'}",5,BC,Boston College,BC,Eagles,Eagles,True,#610B18,Team
24,72,"{'6': '6fad29be-d988-4014-9640-ad26a14d3bd1', '10': '1000032841', '15': '7729'}",5,SYR,Syracuse,SYR,Orange,Orange,True,#F15121,Team
25,73,"{'6': 'a5ef8db1-5d26-4d7e-af22-b21e380c16d2', '10': '1000028578', '15': '7712'}",5,PIT,Pittsburgh,PIT,Panthers,Panthers,True,#1F2637,Team
26,66,"{'6': '858b3a2b-f9c3-4497-a707-733cc1ea7516', '10': '1000039451', '15': '7674'}",5,UVA,Virginia,UVA,Cavaliers,Cavaliers,True,#2D303F,Team
27,67,"{'6': '3ed1a496-46af-4c0e-be37-c76ee352d702', '10': '1000091523', '15': '7686'}",5,WF,Wake Forest,WF,Demon Deacons,Demon Deacons,True,#0F0E14,Team
28,95,"{'6': 'ae68bc50-4135-47b5-b2f1-03d0669e54c8', '10': '1001078328', '15': '8240'}",5,TEX,Texas,TEX,Longhorns,Longhorns,True,#A84F2E,Team
29,91,"{'6': 'e346442f-9228-4e94-8e9a-376c5ef7e796', '10': '1000084863', '15': '7817'}",5,OKS,Oklahoma State,OKS,Cowboys,Cowboys,True,#E14B19,Team
30,98,"{'6': '242f21d8-7372-4359-a04f-4d467ead22d6', '10': '1000067905', '15': '7811'}",5,OKL,Oklahoma,OKL,Sooners,Sooners,True,#9F1C18,Team
31,96,"{'6': '7268f3da-94eb-43c0-86c0-a37f854d5c9d', '10': '1000032680', '15': '7749'}",5,WVU,West Virginia,WVU,Mountaineers,Mountaineers,True,#31405F,Team
32,92,"{'6': 'd335c726-44aa-4b69-8271-59d42d691cba', '10': '1000042804', '15': '7772'}",5,ISU,Iowa State,ISU,Cyclones,Cyclones,True,#D01313,Team
33,99,"{'6': '0dd26ea7-79fb-4ea8-bf48-7c31108e14a3', '10': '1000005538', '15': '7791'}",5,KST,Kansas State,KST,Wildcats,Wildcats,True,#360F68,Team
34,97,"{'6': '22083fa4-8d9c-4ccc-8c33-cda772954099', '10': '1000041164', '15': '8267'}",5,TT,Texas Tech,TT,Red Raiders,Red Raiders,True,#0B0B0B,Team
35,94,"{'6': 'd0212bdb-5dd4-4604-a221-9adf26e6fd4a', '10': '1000036410', '15': '7787'}",5,KAN,Kansas,KAN,Jayhawks,Jayhawks,True,#1942BC,Team
36,84,"{'6': '53aaad5a-b81b-490e-b04a-b650156cd1db', '10': '1000437762', '15': '9253'}",5,UCF,UCF,UCF,Knights,Knights,True,#AE9866,Team
37,93,"{'6': 'a09e634d-39a8-4aa8-81a4-7337580a31f4', '10': '1000020423', '15': '8259'}",5,TCU,TCU,TCU,Horned Frogs,Horned Frogs,True,#493477,Team
38,130,"{'6': '627b2e5c-3ba5-496e-9f9b-1c620247c1b7', '10': '1000049037', '15': '8283'}",5,BYU,BYU,BYU,Cougars,Cougars,True,#002255,Team
39,81,"{'6': '38157fcd-b2d8-4ecf-ad50-272f8228bf34', '10': '1000035618', '15': '8224'}",5,HOU,Houston,HOU,Cougars,Cougars,True,#941D16,Team
40,90,"{'6': '8b8225f5-eb09-48ea-9120-cef081918b7a', '10': '1000061697', '15': '8210'}",5,BAY,Baylor,BAY,Bears,Bears,True,#003015,Team
41,79,"{'6': '42a9a18b-b59a-408b-8cab-4e49cbe2c23a', '10': '1000061360', '15': '8364'}",5,CIN,Cincinnati,CIN,Bearcats,Bearcats,True,#FB2733,Team
42,106,"{'6': 'd3e8c416-e643-4d5e-be9e-c598a150b234', '10': '1000067865', '15': '7841'}",5,MICH,Michigan,MICH,Wolverines,Wolverines,True,#cab827,Team
43,100,"{'6': '9a6d6f3f-021e-4ddd-8fac-ac4766239d87', '10': '1000052741', '15': '7874'}",5,OSU,Ohio State,OSU,Buckeyes,Buckeyes,True,#C7BCBE,Team
44,102,"{'6': 'eeb3ce19-6ddd-4c91-afab-811c6cc81974', '10': '1000050079', '15': '7880'}",5,PSU,Penn State,PSU,Nittany Lions,Nittany Lions,True,#2C3060,Team
45,105,"{'6': 'e2a7ee48-c096-4aac-a7a2-4f1f35baa835', '10': '1000048653', '15': '7643'}",5,MAR,Maryland,MAR,Terrapins,Terrapins,True,#CE2522,Team
