,active,competitorType,market,marketAbbr,name,nameShort,primaryColor,shortCode,sportId,teamId,teamIdsByProvider
0,True,Team,New York,NY,Yankees,Yankees,#003087,NYY,2,38,"{'6': 'a09ec676-f887-43dc-bbb3-cf4bbaee9a18', '10': '1000069933', '15': '29825'}"
1,True,Team,Boston,BOS,Red Sox,Red Sox,#BD3039,BOS,2,37,"{'6': '93941372-eb4c-4c40-aced-fe3267174393', '10': '1000056551', '15': '29976'}"
2,True,Team,Baltimore,BAL,Orioles,Orioles,#DF4601,BAL,2,36,"{'6': '75729d34-bca7-4a0f-b3df-6f26c6ad3719', '10': '1000018255', '15': '29829'}"
3,True,Team,Toronto,TOR,Blue Jays,Blue Jays,#134A8E,TOR,2,34,"{'6': '1d678440-b4b1-4954-9b39-70afb3ebbcfa', '10': '1000080734', '15': '29868'}"
4,True,Team,Tampa Bay,TB,Rays,Rays,#8FBCE6,TB,2,35,"{'6': 'bdc11650-6f74-49c4-875e-778aeb7632d9', '10': '1000052995', '15': '29880'}"
5,True,Team,Detroit,DET,Tigers,Tigers,#FA4616,DET,2,42,"{'6': '575c19b7-4052-41c2-9f0a-1c5813d02f99', '10': '1000024135', '15': '29871'}"
6,True,Team,Cleveland,CLE,Guardians,Guardians,#F95726,CLE,2,40,"{'6': '80715d0d-0d2a-450f-a970-1b9a3b18c7e7', '10': '1000013089', '15': '29913'}"
7,True,Team,Minnesota,MIN,Twins,Twins,#862334,MIN,2,43,"{'6': 'aa34e0ed-f342-4ec6-b774-c79b47b60e2d', '10': '1000062357', '15': '29909'}"
8,True,Team,Kansas City,KC,Royals,Royals,#BD9B60,KC,2,39,"{'6': '833a51a9-0d84-410f-bd77-da08c3e5e26e', '10': '1000041292', '15': '29965'}"
9,True,Team,Chicago,CHI,White Sox,White Sox,#C4CED4,CWS,2,41,"{'6': '47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8', '10': '1000049847', '15': '29970'}"
10,True,Team,Los Angeles,LA,Angels,Angels,#BA0021,LAA,2,45,"{'6': '4f735188-37c8-473d-ae32-1f7e34ccf892', '10': '1000060967', '15': '29901'}"
11,True,Team,Texas,TEX,Rangers,Rangers,#A84F2E,TEX,2,47,"{'6': 'd99f919b-1534-4516-8e8a-9cd106c6d8cd', '10': '1000085122', '15': '29891'}"
12,True,Team,Seattle,SEA,Mariners,Mariners,#005C5C,SEA,2,44,"{'6': '43a39081-52b4-4f93-ad29-da7f329ea960', '10': '1000003102', '15': '29815'}"
13,True,Team,Houston,HOU,Astros,Astros,#941D16,HOU,2,48,"{'6': 'eb21dadd-8f10-4095-8bf3-dfb3b779f107', '10': '1000032711', '15': '29882'}"
